municipality,parent_name,point_index,group_id,group_title,score
Академический,Юго-Западный,10,recreation_environment,Рекреация и экологическая комфортность,68.690000
Академический,Юго-Западный,10,safety_economic_stability,Безопасность и экономическая стабильность района,80.630000
Академический,Юго-Западный,11,transport_accessibility,Транспортная доступность,97.110000
Академический,Юго-Западный,11,social_infrastructure,Социальная инфраструктура,89.670000
Академический,Юго-Западный,11,commercial_household,Коммерческая и бытовая инфраструктура,94.020000
Академический,Юго-Западный,11,recreation_environment,Рекреация и экологическая комфортность,67.390000
Академический,Юго-Западный,11,safety_economic_stability,Безопасность и экономическая стабильность района,84.030000
Академический,Юго-Западный,12,transport_accessibility,Транспортная доступность,100.000000
Академический,Юго-Западный,12,social_infrastructure,Социальная инфраструктура,90.260000
Академический,Юго-Западный,12,commercial_household,Коммерческая и бытовая инфраструктура,93.210000
Академический,Юго-Западный,12,recreation_environment,Рекреация и экологическая комфортность,65.550000
Академический,Юго-Западный,12,safety_economic_stability,Безопасность и экономическая стабильность района,79.690000
Академический,Юго-Западный,13,transport_accessibility,Транспортная доступность,98.020000
Академический,Юго-Западный,13,social_infrastructure,Социальная инфраструктура,91.240000
Академический,Юго-Западный,13,commercial_household,Коммерческая и бытовая инфраструктура,94.050000
Академический,Юго-Западный,13,recreation_environment,Рекреация и экологическая комфортность,58.750000
Академический,Юго-Западный,13,safety_economic_stability,Безопасность и экономическая стабильность района,81.090000
Академический,Юго-Западный,14,transport_accessibility,Транспортная доступность,95.350000
Академический,Юго-Западный,14,social_infrastructure,Социальная инфраструктура,90.210000
Академический,Юго-Западный,14,commercial_household,Коммерческая и бытовая инфраструктура,99.910000
Академический,Юго-Западный,14,recreation_environment,Рекреация и экологическая комфортность,61.510000
Академический,Юго-Западный,14,safety_economic_stability,Безопасность и экономическая стабильность района,81.190000
Академический,Юго-Западный,15,transport_accessibility,Транспортная доступность,98.860000
Академический,Юго-Западный,15,social_infrastructure,Социальная инфраструктура,89.190000
