municipality,parent_name,point_index,group_id,group_title,section_id,section_title,score
"""Мосрентген""",Новомосковский,12,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,48.270000
"""Мосрентген""",Новомосковский,12,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,33.260000
"""Мосрентген""",Новомосковский,12,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,24.900000
"""Мосрентген""",Новомосковский,12,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,94.710000
"""Мосрентген""",Новомосковский,12,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,16.410000
"""Мосрентген""",Новомосковский,12,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,14.790000
"""Мосрентген""",Новомосковский,12,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,66.600000
"""Мосрентген""",Новомосковский,12,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,13,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,60.400000
"""Мосрентген""",Новомосковский,13,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,70.150000
"""Мосрентген""",Новомосковский,13,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,60.060000
"""Мосрентген""",Новомосковский,13,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,69.600000
"""Мосрентген""",Новомосковский,13,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,58.720000
"""Мосрентген""",Новомосковский,13,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,37.060000
"""Мосрентген""",Новомосковский,13,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,20.710000
"""Мосрентген""",Новомосковский,13,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,75.900000
"""Мосрентген""",Новомосковский,13,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,47.020000
"""Мосрентген""",Новомосковский,13,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,19.740000
"""Мосрентген""",Новомосковский,13,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,87.670000
"""Мосрентген""",Новомосковский,13,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,14,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,57.740000
"""Мосрентген""",Новомосковский,14,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,81.800000
"""Мосрентген""",Новомосковский,14,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,70.080000
"""Мосрентген""",Новомосковский,14,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,79.230000
"""Мосрентген""",Новомосковский,14,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,61.340000
"""Мосрентген""",Новомосковский,14,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,87.880000
"""Мосрентген""",Новомосковский,14,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,35.540000
"""Мосрентген""",Новомосковский,14,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,48.300000
"""Мосрентген""",Новомосковский,14,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,54.440000
"""Мосрентген""",Новомосковский,14,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,43.540000
"""Мосрентген""",Новомосковский,14,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,92.580000
"""Мосрентген""",Новомосковский,14,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,15,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,80.150000
"""Мосрентген""",Новомосковский,15,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,79.510000
"""Мосрентген""",Новомосковский,15,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,57.910000
"""Мосрентген""",Новомосковский,15,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,61.820000
"""Мосрентген""",Новомосковский,15,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,55.730000
"""Мосрентген""",Новомосковский,15,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,83.940000
"""Мосрентген""",Новомосковский,15,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,41.500000
"""Мосрентген""",Новомосковский,15,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,96.780000
"""Мосрентген""",Новомосковский,15,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,39.160000
"""Мосрентген""",Новомосковский,15,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,31.680000
